degree,k_ij
1,78.0
1,1056.0
1,3024.0
1,3024.0
1,3024.0
3,1015.0
2,1513.5
7,599.5714285714286
12,24.416666666666668
1,7.0
3,512.6666666666666
4,367.5
3,491.6666666666667
10,307.1
3,491.6666666666667
3,502.3333333333333
2,8.5
5,2.4
12,12.25
3,1178.3333333333333
7,475.85714285714283
2,1949.5
3,1044.3333333333333
30,4.533333333333333
3,1044.3333333333333
1,237.0
2,1572.0
120,4.108333333333333
2,1800.0
1,3024.0
16,341.5
8,6.375
5,242.4
2,733.0
1,297.0
12,324.8333333333333
42,8.30952380952381
2,9.5
1,439.0
1,19.0
5,628.0
14,12.571428571428571
2,5.5
14,28.642857142857142
6,1038.5
3,1024.3333333333333
39,29.358974358974358
4,24.0
40,11.025
22,11.727272727272727
2,5.5
3,352.0
1,3.0
2,2.5
16,98.9375
2,6.0
9,6.555555555555555
20,491.0
1,20.0
17,8.235294117647058
4,471.75
34,123.11764705882354
1,30.0
30,17.966666666666665
2,569.0
4,983.5
3,5.0
9,14.666666666666666
1,3103.0
3,84.66666666666667
3,2.6666666666666665
14,5.5
3,84.66666666666667
1,3103.0
1,819.0
3,424.6666666666667
6,4.833333333333333
3,1105.6666666666667
5,2.8
1,3103.0
1,1995.0
5,224.2
21,50.095238095238095
2,1559.0
15,5.466666666666667
2,1553.0
3,107.33333333333333
2,287.0
4,415.5
1,141.0
2,87.0
1,1461.0
1,279.0
5,841.0
2,1554.0
1,3103.0
1,44.0
1,819.0
1,819.0
3,141.66666666666666
3,36.333333333333336
10,15.1
2,1632.0
1,167.0
1,12.0
12,262.5833333333333
3,171.33333333333334
46,13.891304347826088
1,104.0
2,1768.0
1,7.0
7,3.7142857142857144
6,861.1666666666666
66,5.257575757575758
20,83.3
2,752.5
3,285.3333333333333
39,6.512820512820513
2,1803.5
1,937.0
2,530.0
3,139.66666666666666
5,6.8
17,7.470588235294118
1,17.0
1,17.0
2,17.0
6,9.833333333333334
1,17.0
4,15.25
1,17.0
1,17.0
7,9.714285714285714
1,17.0
4,11.0
4,10.25
1,17.0
1,17.0
4,467.5
6,458.1666666666667
3,240.66666666666666
2,265.5
4,467.75
1,4.0
1,1.0
1,1.0
2,1803.5
2,443.5
68,7.779411764705882
2,120.5
7,948.7142857142857
2,562.0
2,13.0
3,2.3333333333333335
23,11.08695652173913
7,75.42857142857143
7,178.28571428571428
11,5.545454545454546
34,2.7058823529411766
23,10.043478260869565
4,652.75
3,704.6666666666666
1,3.0
118,7.3474576271186445
1,19.0
19,6.631578947368421
2,213.5
1,1.0
1,1.0
4,165.75
6,6.0
40,3.95
1,3103.0
3,582.0
39,200.53846153846155
1,477.0
2,1839.5
2,82.5
16,305.1875
9,8.666666666666666
43,16.046511627906977
11,20.727272727272727
7,5.142857142857143
6,97.83333333333333
83,20.710843373493976
1,16.0
1,3024.0
2,1522.0
20,25.7
1,3024.0
3,1020.0
1,3.0
1,3024.0
4,766.25
3,36.333333333333336
6,40.5
1,3024.0
4,776.5
3,1010.0
3,1010.3333333333334
3,1017.0
1,432.0
5,4.6
1,111.0
7,742.1428571428571
47,48.744680851063826
2,87.5
1,2.0
1,5.0
5,9.0
6,886.6666666666666
1,1995.0
6,254.0
3,40.666666666666664
8,9.625
2,3.5
1,104.0
2,1513.0
2,14.0
1,3103.0
1,3103.0
1,8.0
8,6.125
1,66.0
2,312.5
49,18.306122448979593
4,432.0
14,9.285714285714286
1,1.0
1,1.0
9,36.77777777777778
86,7.837209302325581
51,12.470588235294118
3,601.6666666666666
2,1258.5
1,3.0
3,1056.6666666666667
3,1035.6666666666667
1,3.0
3,3.3333333333333335
4,47.75
1,4.0
2,1556.0
2,5.5
2,5.5
9,228.0
39,8.41025641025641
1,9.0
4,20.75
2,4.5
2,4.5
37,7.45945945945946
2,718.0
4,996.5
11,9.0
1,63.0
1,289.0
1,3.0
3,735.0
2,528.5
17,255.0
200,26.415
77,20.233766233766232
195,58.13846153846154
149,63.13422818791946
28,26.142857142857142
126,110.24603174603175
74,166.32432432432432
183,26.85792349726776
236,26.70762711864407
157,30.662420382165607
277,27.093862815884478
1,433.0
2,311.0
5,365.2
15,76.73333333333333
6,5.333333333333333
1,161.0
2,2.0
3,2.3333333333333335
1,2.0
2,676.5
1,4.0
4,760.25
1,3103.0
3,704.6666666666666
1,138.0
3,514.0
24,4.5
1,98.0
98,11.408163265306122
1,433.0
5,927.8
67,55.134328358208954
5,657.4
26,7.461538461538462
3,200.66666666666666
1,9.0
9,10.777777777777779
1,2.0
2,1.5
2,1732.5
2,320.5
1,866.0
2,21.5
4,3.5
1,3.0
3,5.666666666666667
5,496.6
2,246.0
60,11.466666666666667
8,272.875
2,38.5
7,55.285714285714285
2,1555.5
2,895.0
1,1461.0
2,3.5
4,1.5
3,1.6666666666666667
2,87.0
1,4.0
1,4.0
30,183.93333333333334
3,19.333333333333332
