degree,k_ij
4,15.75
5,266.8
56,10.375
13,17.384615384615383
3,186.33333333333334
4,27.5
7,24.857142857142858
15,15.066666666666666
7,295.0
4,21.75
22,14.636363636363637
27,7.407407407407407
2,27.5
24,8.791666666666666
36,10.0
3,11.666666666666666
6,10.5
25,169.96
3,677.3333333333334
1,25.0
27,175.74074074074073
1,27.0
39,11.538461538461538
3,15.0
13,31.692307692307693
2,28.0
1,27.0
7,459.2857142857143
1,27.0
1,27.0
11,28.636363636363637
6,40.666666666666664
4,27.75
12,18.833333333333332
1,27.0
69,29.63768115942029
62,29.677419354838708
78,30.435897435897434
29,191.10344827586206
1,29.0
2,16.0
2,19.0
13,27.923076923076923
4,56.25
12,45.583333333333336
8,44.25
31,30.322580645161292
9,38.333333333333336
6,627.3333333333334
6,577.1666666666666
2,177.5
5,246.0
